Timestamp,  What year did you start your program?  ,  What is your student status?  ,What is your gender?,"Have you attended any large classes (e.g., over 150 students)?  ",How many courses are you enrolled in this semester?,"If you answered 'Yes' to the previous question, were these large classes:  ",There is Sufficient Lab Space,There are Opportunities to Participate in Large Classes,There is Difficulty Finding Lab Seats,I have been able to choose a class stream that fits my schedule and preferences.,I can Keep Up in Large Classes,Large Classes are Less Engaging,Large Classes has Better Teaching Quality,"In large classes, the course content is effectively covered within the time allocated for lectures.  ","I often help other students with coursework (e.g., tutoring, group study) more than once during a semester  ",Have you ever repeated a course?  ,"If you answered 'Yes' to the previous question, was the course content, lab space, or resources the same as when you took it the first time?  ","Please briefly explain what was similar or different in terms of content, lab space, or resources when you repeated the course.  ",Have you ever dropped a course during a semester?  ,"If you answered 'Yes' to the previous question, can you briefly explain the reason(s) why you dropped the course?  ",Has class size ever affected registration?,Have you experienced timetable clashes that made it difficult to choose your preferred class stream?  ,"If you experienced timetable clashes, how did it affect your course selection?  "," How often do you actively participate in larger classes (e.g., ask questions, engage in discussions)?  ",Any Additional Comments on your Experience with Large Class Sizes?
3/2/2025 13:45:05,2022,Local Student,Male,Yes,4,Both,1,1,5,1,1,5,1,1,5,No,,,Yes,Poor teaching ,Yes,Yes,I had to choose a different class stream,Rarely,Large classes cause less effective learning 
3/2/2025 13:52:58,2022,Local Student,Male,Yes,5,Core courses,3,1,3,1,1,5,1,1,1,Yes,Yes,"The amount of students were the same, as well as the lab rooms were the same. Nothing changed.",No,,Yes,Yes,I had to choose a different class stream,Never,They are why the pass rate is shit.
3/2/2025 13:56:11,2022,Local Student,Male,Yes,6 or more,Core courses,4,2,3,5,2,4,3,4,1,Yes,Yes,,No,,No,Yes,I chose a class with a different time slot,Rarely,
3/2/2025 14:18:27,2024,Local Student,Female,Yes,5,Both,5,3,1,5,2,3,3,4,3,No,,,No,,Yes,No,,Never,
3/2/2025 15:14:13,2022,Local Student,Female,Yes,5,Core courses,4,2,1,3,2,4,2,3,4,Yes,Yes,"When I took the course the second time around there were less persons attending the course and it was more engaging, this alongside the fact that I only had that one course to focus on rather that 5 improve my performance significantly (I ended up getting an A)",No,,No,No,,Never,
3/2/2025 16:21:41,2022,Local Student,Male,Yes,4,Core courses,4,3,3,4,3,4,3,4,3,Yes,Yes,"The content was the same, lab space and resources as well during the regular semester however if it was during the summer the course content may have been the same but the teaching style would've been slightly different ",No,,No,Yes,I had to choose a different class stream,Occasionally,In my experience sometimes with large class sizes the quality of teaching isn't as good with a particular lecturer as it would be in a smaller class size. That is to say some lecturers teach better in a smaller class setting rather than a larger one 
3/2/2025 17:31:29,2024,Local Student,Male,Yes,5,Core courses,5,1,1,5,3,1,3,4,3,No,,,No,,No,No,,Never,👍
3/2/2025 17:52:56,2024,Local Student,Male,Yes,1-3,Core courses,5,3,1,4,3,3,3,4,2,No,,,No,,No,No,,Rarely,
3/2/2025 18:27:20,2024,Local Student,Male,Yes,4,Core courses,3,2,3,4,3,3,1,3,4,No,,,No,,Yes,No,I chose a class with a different time slot,Rarely,"Needs better audio system, difficulty hearing at times"
3/3/2025 12:33:03,2022,Local Student,Male,Yes,5,Both,2,1,4,2,2,5,3,2,4,Yes,Yes,Same material ,No,,Yes,Yes,I had to choose a different class stream,Rarely,
3/3/2025 14:14:18,2022,Inter-Regional Student,Male,Yes,1-3,Elective courses,4,2,2,3,2,3,3,4,2,Yes,Yes,All the same,No,,Yes,No,I chose a class with a different time slot,Never,Generally my class sizes are good
3/3/2025 17:41:44,2022,Local Student,Male,Yes,5,Both,4,1,4,4,2,4,1,1,2,No,,,No,,No,Yes,I chose a class with a different time slot,Rarely,
3/3/2025 18:17:45,2022,Local Student,Female,Yes,5,Both,2,2,5,1,2,4,2,3,3,Yes,No,"I repeated in summer so the course was lesser and the some content was the same but summer varies, lab had less person so there was space",No,,Yes,Yes,I chose a class with a different time slot,Rarely,
3/3/2025 20:13:23,2022,Local Student,Male,Yes,1-3,Both,4,3,4,3,3,3,3,3,4,No,,,Yes,Got an internship,No,No,,Rarely,
3/3/2025 21:28:26,2022,Local Student,Female,Yes,5,Core courses,1,2,4,3,2,4,1,3,1,Yes,Yes,,No,,Yes,Yes,I had to choose a different class stream,Never,
3/4/2025 20:29:08,2022,Local Student,Male,Yes,6 or more,Both,5,3,2,4,3,3,2,3,4,No,,,Yes,Because the course content was too much work for me to handle ,No,Yes,I had to choose a different class stream,Never,
3/4/2025 20:29:26,2022,Local Student,Female,Yes,5,Core courses,2,1,5,2,1,5,3,4,3,Yes,No,The class was smaller and we covered more content in more detail. I was able to understand more and got a higher grade. ,No,,Yes,Yes,I chose a class with a different time slot,Never,
3/4/2025 20:35:04,2022,Local Student,Male,Yes,5,Core courses,5,3,4,5,4,5,3,4,5,Yes,I'm Unsure,,No,,Yes,Yes,I had to choose a different class stream,Rarely,
3/4/2025 20:41:56,2023,Local Student,Female,Yes,6 or more,Core courses,4,1,3,2,3,2,2,3,3,Yes,No,The content was less and I had a better understanding of the core topics. The class was smaller as well.,No,,Yes,Yes,I had to choose a different class stream,Rarely,
3/4/2025 20:44:46,2022,Local Student,Male,Yes,5,Core courses,3,2,2,4,2,4,2,3,2,No,,,No,,No,No,,Rarely,"I am currently enrolled in a course with 150+ people, the room is incapable of fitting that amount, however about 30% of the class either attend the lecture online since it is hybrid, or do not attend at all. Additionally, I'm also enrolled in a course with about 100 students with one lab session a week and although the two lab rooms are used for that session, it is impossible for everyone to attend due to size, having multiple sessions for this would help."
3/4/2025 20:48:01,2022,Local Student,Male,Yes,1-3,Both,5,3,1,5,4,4,4,5,2,Yes,Yes,"Everything was basically the same for courses that I have repeated, in some cases even down to the assignments being copied from year to year. If differences were made I had no clue. For reference I am doing computer science (general).",Yes,"Medical reasons that made me miss the first few weeks of the course, and I thought it would be too difficult to catch up on all the work.",Yes,No,,Rarely,
3/4/2025 21:02:10,2020,Local Student,Female,Yes,5,Neither,4,4,1,1,2,3,1,5,1,No,,,No,,Yes,Yes,"All of the above (for the second option, I had to survive the semester with the clash)",Occasionally,I have 0 problems with large classes as they tend to have more flexible lecture and tutorial times than smaller classes. The only problem is when they get full and you have to get an override or choose the course the next academic year or semester.
3/4/2025 22:10:32,2023-24,Local Student,Female,Yes,5,Core courses,4,3,4,4,3,2,3,4,4,No,,,No,,No,No,,Occasionally,"I have found that my larger classes have been courses that are year 1 prerequisites across many programmes, affecting the large size."
3/5/2025 7:00:36,2022,Local Student,Male,No,4,Neither,2,2,2,2,4,2,4,2,3,No,,,Yes,Changed my mind about doing it,Yes,Yes,Suffer,Rarely,
3/5/2025 7:52:37,2022,Local Student,Non-binary,Yes,5,Both,5,3,2,4,3,3,3,3,4,Yes,Yes,"The content was the same, though the teaching space was different. Probably since both repeats were done in the summer with a smaller class size.",No,,No,No,,Occasionally,
3/5/2025 10:26:02,2023,Local Student,Female,Yes,4,Both,3,1,5,5,2,4,3,3,4,Yes,No,"I repeated a course both during summer and the school year. Both were core courses with over 100 students and had labs and tutorials. Both courses had 2 lecture groups.

The one I repeated in summer had roughly 80-90 people enrolled but an attendance of ~50 (so it felt much smaller). There were no labs and the syllabus was much more condensed, omitting a few things and paying less attention to others.

The one I repeated during the school year had roughly the same size (as far as i could tell) and lecture sizes (although started with a full room), dwindled to around 60-100 students. The labs are relatively the same size, though the tutor changed. I had a different lecturer compared to year prior as well, although I stayed in the 'group 1' time slot. The content was relatively the same.",No,,No,Yes,I had to choose a different class stream,Never,
3/5/2025 11:04:57,2021,Local Student,Female,Yes,1-3,Core courses,4,2,4,1,5,2,4,5,1,Yes,No,"I repeated the course during summer, so usually large class was considerably smaller, and so, class space was larger, and course content was more concise and understandable.",No,,No,Yes,I chose a class with a different time slot,Never,"Honestly, I do enjoy large classes. In a way, it comforts me to know that I'm not in this alone. With regards to teaching, I find that it's much nicer to just sit and listen to what the professor is communicating, rather than having smaller, interactive classes. I do learn quite a lot in smaller classes, since it's easier to ask questions and engage in discussions, but I learn a lot as well in large classes, too, unless the course content is not appealing enough to hold my attention (in the case of being a necessary core course, but, for instance, being based more on another subject than the subject I am interested in)."
3/5/2025 20:27:15,2022,Local Student,Female,Yes,5,Core courses,3,2,4,2,3,5,1,5,1,Yes,No,It was smaller class sizes but the content teaching was faster paced even though its the same amount of content,No,,No,No,N/a,Never,
3/8/2025 8:47:46,2021,Inter-Regional Student,Female,Yes,1-3,Core courses,4,2,3,3,3,4,3,3,2,No,,,No,,Yes,Yes,I had to choose a different class stream,Never,
